"sf__Id","sf__Error",Id,Well_Type__c,Status__c,Production_Status__c,Total_Oil_Volume_12M__c,Total_Depth__c,True_Vertical_Depth__c,Formation__c,Spud_Date__c,Completion_Date__c,Last_Production_Date__c,Regulatory_District__c,API_Number__c
"a0Qak00000ktCXaEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Suspended".:--","a0Qak00000ktCXaEAM","Oil","Suspended","Abandoned","10507.37","10298.49","8841.37","Haynesville","2017-01-26","2017-11-20","2026-06-11","PRD-05","22-952-35443-00"
"a0Qak00000ktCd5EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCd5EAE","Oil","Producing","Flowing","34647.39","12080.18","7783.31","Bakken","2025-05-28","2026-04-06","2026-06-21","PRD-03","91-989-74340-01"
"a0Qak00000ktCciEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCciEAE","Water Disposal","Producing","Artificial Lift","76693.17","5851.81","4019.41","Fayetteville","2024-04-25","2025-03-31","2026-06-11","PRD-04","76-489-69049-03"
"a0Qak00000ktCf8EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCf8EAE","Gas","Producing","Flowing","42873.94","10686.29","6637.05","Bone Spring","2025-10-06","2026-02-19","2026-06-10","PRD-04","43-776-20641-04"
"a0Qak00000ktCdkEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCdkEAE","Oil","Producing","Flowing","25174.62","9085.18","7643.18","Barnett","2025-06-21","2025-08-06","2026-06-23","PRD-05","46-819-69510-05"
"a0Qak00000ktCe5EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCe5EAE","Gas","Producing","Shut-In","66208.82","11250.58","9353.89","Monterey","2025-03-08","2025-11-10","2026-06-27","PRD-04","92-252-44816-06"
"a0Qak00000ktCZcEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCZcEAM","Oil","Producing","Artificial Lift","4960.37","16987.49","13576.78","Haynesville","2019-04-27","2019-07-29","2026-06-16","PRD-05","99-512-45683-07"
"a0Qak00000ktCacEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCacEAE","Oil","Shut-In","Shut-In","1666.41","8478.33","6369.01","Niobrara","2017-04-18","2017-09-23","2026-05-18","PRD-02","39-790-85392-08"
"a0Qak00000ktCgyEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCgyEAE","Water Disposal","Producing","Flowing","64709.42","13214.21","10593.65","Spraberry","2025-03-08","2025-12-03","2026-06-14","PRD-08","45-285-86720-09"
"a0Qak00000ktCZmEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCZmEAM","Oil","Shut-In","Shut-In","1823.01","12175.53","8725.69","Wolfcamp","2023-01-07","2023-04-29","2025-12-14","PRD-07","98-607-47777-10"
"a0Qak00000ktCgYEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCgYEAU","Water Disposal","Producing","Flowing","64432.49","5366.97","3385.6","Haynesville","2025-04-06","2025-07-04","2026-06-06","PRD-07","75-944-10150-11"
"a0Qak00000ktCeFEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCeFEAU","Oil","Producing","Flowing","38515.66","12564.43","10288.92","Spraberry","2025-11-26","2026-04-09","2026-06-22","PRD-03","46-548-73532-12"
"a0Qak00000ktCcHEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCcHEAU","Gas","Producing","Artificial Lift","66955.39","12097.83","8574.49","Bakken","2024-03-19","2024-11-12","2026-06-28","PRD-04","24-572-25396-13"
"a0Qak00000ktCgJEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCgJEAU","Injection","Producing","Artificial Lift","17837.07","12447.05","10540.53","Spraberry","2024-09-21","2025-05-06","2026-06-09","PRD-03","73-137-26547-17"
"a0Qak00000ktCjDEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCjDEAU","Injection","Producing","Shut-In","2201.53","6681.66","5077.56","Bone Spring","2025-09-27","2026-05-24","2026-06-03","PRD-03","19-580-44737-18"
"a0Qak00000ktCb8EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Shut-In".:--","a0Qak00000ktCb8EAE","Oil","Shut-In","Artificial Lift","1664.57","11942.79","9984.47","Fayetteville","2019-09-17","2020-03-27","2025-07-15","PRD-08","79-136-90931-19"
"a0Qak00000ktCYrEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCYrEAM","Oil","Producing","Shut-In","13853.47","19969.11","17200.76","Woodford","2022-06-04","2023-05-24","2026-06-08","PRD-02","66-270-49251-20"
"a0Qak00000ktCh2EAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCh2EAE","Oil","Producing","Artificial Lift","39865.38","11831.35","9159.64","Utica","2025-08-10","2026-01-05","2026-06-16","PRD-05","68-361-97404-22"
"a0Qak00000ktCjFEAU","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCjFEAU","Injection","Producing","Artificial Lift","1438.16","6826.19","4272.18","Niobrara","2025-07-31","2026-01-30","2026-06-10","PRD-07","98-356-69878-23"
"a0Qak00000ktCelEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCelEAE","Oil","Producing","Flowing","46408.52","7372.06","5898.92","Utica","2025-02-02","2025-08-02","2026-06-30","PRD-07","45-108-84177-24"
"a0Qak00000ktCgvEAE","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCgvEAE","Injection","Producing","Artificial Lift","57846.8","13383.37","10972.85","Monterey","2023-09-02","2024-08-27","2026-06-29","PRD-05","66-134-85965-26"
"a0Qak00000ktCWgEAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Suspended".:--","a0Qak00000ktCWgEAM","Oil","Suspended","Artificial Lift","2169.96","19554.72","12696.19","Marcellus","2016-04-10","2016-11-29","2026-05-31","PRD-06","21-909-61717-28"
"a0Qak00000ktCY1EAM","FIELD_CUSTOM_VALIDATION_EXCEPTION:Invalid status transition from "Permitted" to "Producing".:--","a0Qak00000ktCY1EAM","Oil","Producing","Shut-In","7094.4","16073.94","13426.87","Utica","2019-04-02","2020-03-23","2026-05-31","PRD-06","23-791-40647-29"
