"sf__Id","sf__Created",Id,Well_Type__c,Status__c,Production_Status__c,Total_Oil_Volume_12M__c,Total_Depth__c,True_Vertical_Depth__c,Formation__c,Spud_Date__c,Completion_Date__c,Last_Production_Date__c,Regulatory_District__c,API_Number__c
"a0Qak00000ktCbzEAE","false","a0Qak00000ktCbzEAE","Oil","Drilling","Flowing","45510.8","9404.69","6249.67","Bakken","2024-12-15","2025-09-15","2026-06-27","PRD-02","61-603-19710-02"
"a0Qak00000ktCiGEAU","false","a0Qak00000ktCiGEAU","Gas","Drilling","Artificial Lift","2544.36","4913.97","4384.01","Barnett","2025-08-08","2026-04-28","2026-06-13","PRD-03","59-295-88561-14"
"a0Qak00000ktCdgEAE","false","a0Qak00000ktCdgEAE","Water Disposal","Drilling","Flowing","66350.4","9149.42","8481.39","Fayetteville","2025-07-31","2025-08-31","2026-06-21","PRD-05","85-693-96499-15"
"a0Qak00000ktCdMEAU","false","a0Qak00000ktCdMEAU","Water Disposal","Drilling","Flowing","46482.19","8324.4","7217.3","Woodford","2024-08-09","2025-02-19","2026-06-03","PRD-04","99-344-84946-16"
"a0Qak00000ktCgjEAE","false","a0Qak00000ktCgjEAE","Gas","Permitted","Flowing","66749.33","7933.68","5801.06","Permian Basin","2024-11-26","2025-09-23","","PRD-07","82-798-33600-21"
"a0Qak00000ktCdBEAU","false","a0Qak00000ktCdBEAU","Injection","Permitted","Artificial Lift","69134.53","14029.35","12226.71","Marcellus","2024-02-20","2024-09-17","","PRD-04","91-294-91381-25"
"a0Qak00000ktCjJEAU","false","a0Qak00000ktCjJEAU","Injection","Drilling","Flowing","1475.55","8232.37","5445.5","Permian Basin","2025-07-09","2026-02-11","2026-06-14","PRD-05","31-363-73156-27"
"a0Qak00000ktChKEAU","false","a0Qak00000ktChKEAU","Water Disposal","Permitted","Shut-In","1521.82","6448.37","4088.38","Monterey","2025-11-05","2026-02-12","","PRD-07","68-479-97881-31"
"a0Qak00000ktCdsEAE","false","a0Qak00000ktCdsEAE","Oil","Drilling","Flowing","59569.22","10444.66","9841.43","Niobrara","2025-08-09","2026-03-30","2026-06-22","PRD-04","25-968-69600-33"
"a0Qak00000ktCbqEAE","false","a0Qak00000ktCbqEAE","Injection","Permitted","Artificial Lift","45827.41","5912.25","3723.99","Woodford","2025-07-17","2026-02-22","","PRD-03","81-161-86869-41"
"a0Qak00000ktChhEAE","false","a0Qak00000ktChhEAE","Oil","Permitted","Artificial Lift","4236.37","5450.8","4331.71","Eagle Ford","2025-05-31","2026-04-19","","PRD-04","64-965-83526-43"
"a0Qak00000ktCcLEAU","false","a0Qak00000ktCcLEAU","Water Disposal","Drilling","Flowing","20522.21","5526.09","3620.11","Utica","2026-01-30","2026-04-11","2026-06-22","PRD-08","94-534-73656-46"
"a0Qak00000ktCdZEAU","false","a0Qak00000ktCdZEAU","Oil","Permitted","Flowing","54637.35","8638.98","7958.9","Woodford","2024-09-17","2025-04-08","","PRD-01","90-762-53863-57"
